school name,charter number,site type,more details,statistical info,county
Santa Monica Boulevard Community Charter,446,Site-based Instruction,Santa Monica Boulevard Community Charter,DataQuest Reports,Los Angeles
Scholarship Prep - South Bay,2042,Site-based Instruction,Scholarship Prep - South Bay,DataQuest Reports,Los Angeles
School of Arts and Enterprise,505,Site-based Instruction,School of Arts and Enterprise,DataQuest Reports,Los Angeles
School of Extended Educational Options,914,Independent Study,School of Extended Educational Options,DataQuest Reports,Los Angeles
Serrania Avenue Charter For Enriched Studies,1484,Site-based Instruction,Serrania Avenue Charter For Enriched Studies,DataQuest Reports,Los Angeles
Sherman Oaks Elementary Charter,1348,Site-based Instruction,Sherman Oaks Elementary Charter,DataQuest Reports,Los Angeles
SIATech Academy South,1700,Independent Study,SIATech Academy South,DataQuest Reports,Los Angeles
Soleil Academy Charter,1931,Site-based Instruction,Soleil Academy Charter,DataQuest Reports,Los Angeles
Stella Elementary Charter Academy,1866,Site-based Instruction,Stella Elementary Charter Academy,DataQuest Reports,Los Angeles
Stella Middle Charter Academy,535,Site-based Instruction,Stella Middle Charter Academy,DataQuest Reports,Los Angeles
STEM Preparatory Elementary,1925,Site-based Instruction,STEM Preparatory Elementary,DataQuest Reports,Los Angeles
Superior Street Elementary,1476,Site-based Instruction,Superior Street Elementary,DataQuest Reports,Los Angeles
Sylmar Charter High,1834,Site-based Instruction,Sylmar Charter High,DataQuest Reports,Los Angeles
Synergy Charter Academy,636,Site-based Instruction,Synergy Charter Academy,DataQuest Reports,Los Angeles
Synergy Kinetic Academy,1014,Site-based Instruction,Synergy Kinetic Academy,DataQuest Reports,Los Angeles
Synergy Quantum Academy,1299,Site-based Instruction,Synergy Quantum Academy,DataQuest Reports,Los Angeles
T.I.M.E. Community,2110,Site-based Instruction,T.I.M.E. Community,DataQuest Reports,Los Angeles
Taft Charter High,1580,Site-based Instruction,Taft Charter High,DataQuest Reports,Los Angeles
TEACH Academy of Technologies,1206,Site-based Instruction,TEACH Academy of Technologies,DataQuest Reports,Los Angeles
TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,2004,Site-based Instruction,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,DataQuest Reports,Los Angeles
TEACH Tech Charter High,1658,Site-based Instruction,TEACH Tech Charter High,DataQuest Reports,Los Angeles
The City,1710,Site-based Instruction,The City,DataQuest Reports,Los Angeles
The SEED School of Los Angeles County,2108,Site-based Instruction,The SEED School of Los Angeles County,DataQuest Reports,Los Angeles
Today's Fresh Start-Compton,1772,Site-based Instruction,Today's Fresh Start-Compton,DataQuest Reports,Los Angeles
Topanga Elementary Charter,230,Site-based Instruction,Topanga Elementary Charter,DataQuest Reports,Los Angeles
Topeka Charter School For Advanced Studies,1475,Site-based Instruction,Topeka Charter School For Advanced Studies,DataQuest Reports,Los Angeles
University High School Charter,2006,Site-based Instruction,University High School Charter,DataQuest Reports,Los Angeles
University Preparatory Value High,1723,Site-based Instruction,University Preparatory Value High,DataQuest Reports,Los Angeles
Valiente College Preparatory Charter,1744,Site-based Instruction,Valiente College Preparatory Charter,DataQuest Reports,Los Angeles
Valley Charter Elementary,1237,Site-based Instruction,Valley Charter Elementary,DataQuest Reports,Los Angeles
Valley Charter Middle,1238,Site-based Instruction,Valley Charter Middle,DataQuest Reports,Los Angeles
Valley International Preparatory High,1926,Site-based Instruction,Valley International Preparatory High,DataQuest Reports,Los Angeles
Valor Academy Elementary,1787,Site-based Instruction,Valor Academy Elementary,DataQuest Reports,Los Angeles
Valor Academy High,1539,Site-based Instruction,Valor Academy High,DataQuest Reports,Los Angeles
Valor Academy Middle,1095,Site-based Instruction,Valor Academy Middle,DataQuest Reports,Los Angeles
Van Gogh Charter,1479,Site-based Instruction,Van Gogh Charter,DataQuest Reports,Los Angeles
Vaughn Next Century Learning Center,16,Site-based Instruction,Vaughn Next Century Learning Center,DataQuest Reports,Los Angeles
Village Charter Academy,1639,Site-based Instruction,Village Charter Academy,DataQuest Reports,Los Angeles
Vista Charter Middle,1234,Site-based Instruction,Vista Charter Middle,DataQuest Reports,Los Angeles
Vista Horizon Global Academy,2043,Site-based Instruction,Vista Horizon Global Academy,DataQuest Reports,Los Angeles
Vox Collegiate of Los Angeles,1917,Site-based Instruction,Vox Collegiate of Los Angeles,DataQuest Reports,Los Angeles
Wallis Annenberg High,538,Site-based Instruction,Wallis Annenberg High,DataQuest Reports,Los Angeles
Watts Learning Center,131,Site-based Instruction,Watts Learning Center,DataQuest Reports,Los Angeles
Watts Learning Center Charter Middle,1141,Site-based Instruction,Watts Learning Center Charter Middle,DataQuest Reports,Los Angeles
We The People,2045,Site-based Instruction,We The People,DataQuest Reports,Los Angeles
Welby Way Charter Elementary School And Gifted-High Ability Magnet,1349,Site-based Instruction,Welby Way Charter Elementary School And Gifted-High Ability Magnet,DataQuest Reports,Los Angeles
Westwood Charter Elementary,31,Site-based Instruction,Westwood Charter Elementary,DataQuest Reports,Los Angeles
Wilbur Charter For Enriched Academics,1482,Site-based Instruction,Wilbur Charter For Enriched Academics,DataQuest Reports,Los Angeles
Wilder's Preparatory Academy Charter,582,Site-based Instruction,Wilder's Preparatory Academy Charter,DataQuest Reports,Los Angeles
Wilder's Preparatory Academy Charter Middle,977,Site-based Instruction,Wilder's Preparatory Academy Charter Middle,DataQuest Reports,Los Angeles
WISH Academy High,1863,Site-based Instruction,WISH Academy High,DataQuest Reports,Los Angeles
WISH Community,1627,Site-based Instruction,WISH Community,DataQuest Reports,Los Angeles
Woodlake Elementary Community Charter,1483,Site-based Instruction,Woodlake Elementary Community Charter,DataQuest Reports,Los Angeles
Woodland Hills Elementary Charter For Enriched Studies,1485,Site-based Instruction,Woodland Hills Elementary Charter For Enriched Studies,DataQuest Reports,Los Angeles
Chawanakee Academy Charter,1763,Independent Study,Chawanakee Academy Charter,DataQuest Reports,Madera
Ezequiel Tafoya Alvarado Academy,676,Site-based Instruction,Ezequiel Tafoya Alvarado Academy,DataQuest Reports,Madera
Glacier High School Charter,479,Independent Study,Glacier High School Charter,DataQuest Reports,Madera
Madera County Independent Academy,1001,Independent Study,Madera County Independent Academy,DataQuest Reports,Madera
Minarets Charter High,1341,Site-based Instruction,Minarets Charter High,DataQuest Reports,Madera
Mountain Home Charter (Alternative),63,Independent Study,Mountain Home Charter (Alternative),DataQuest Reports,Madera
Pioneer Technical Center,460,Independent Study,Pioneer Technical Center,DataQuest Reports,Madera
Sherman Thomas Charter,507,Site-based Instruction,Sherman Thomas Charter,DataQuest Reports,Madera
Sherman Thomas Charter High,1058,Independent Study,Sherman Thomas Charter High,DataQuest Reports,Madera
Sherman Thomas STEM Academy,1780,Site-based Instruction,Sherman Thomas STEM Academy,DataQuest Reports,Madera
Yosemite-Wawona Elementary Charter,1610,Combination of Site-based and IS,Yosemite-Wawona Elementary Charter,DataQuest Reports,Madera
Novato Charter,89,Site-based Instruction,Novato Charter,DataQuest Reports,Marin
Phoenix Academy,87,Site-based Instruction,Phoenix Academy,DataQuest Reports,Marin
Ross Valley Charter,1790,Site-based Instruction,Ross Valley Charter,DataQuest Reports,Marin
Sierra Foothill Charter,1396,Site-based Instruction,Sierra Foothill Charter,DataQuest Reports,Mariposa
Accelerated Achievement Academy,439,Site-based Instruction,Accelerated Achievement Academy,DataQuest Reports,Mendocino
Eel River Charter,32,Site-based Instruction,Eel River Charter,DataQuest Reports,Mendocino
La Vida Charter,822,Independent Study,La Vida Charter,DataQuest Reports,Mendocino
Pacific Community Charter,192,Site-based Instruction,Pacific Community Charter,DataQuest Reports,Mendocino
Redwood Academy of Ukiah,271,Site-based Instruction,Redwood Academy of Ukiah,DataQuest Reports,Mendocino
River Oak Charter,910,Site-based Instruction,River Oak Charter,DataQuest Reports,Mendocino
Shanel Valley Academy,2117,Site-based Instruction,Shanel Valley Academy,DataQuest Reports,Mendocino
Three Rivers Charter,1275,Site-based Instruction,Three Rivers Charter,DataQuest Reports,Mendocino
Tree of Life Charter,276,Site-based Instruction,Tree of Life Charter,DataQuest Reports,Mendocino
Willits Charter,166,Site-based Instruction,Willits Charter,DataQuest Reports,Mendocino
Willits Elementary Charter,1373,Site-based Instruction,Willits Elementary Charter,DataQuest Reports,Mendocino
Ballico-Cressey Community Charter,1980,Site-based Instruction,Ballico-Cressey Community Charter,DataQuest Reports,Merced
Come Back Charter,2002,Independent Study,Come Back Charter,DataQuest Reports,Merced
Merced Scholars Charter,631,Independent Study,Merced Scholars Charter,DataQuest Reports,Merced
Urban Corps of San Diego County Charter,1355,Site-based Instruction,Urban Corps of San Diego County Charter,DataQuest Reports,Mono
Bay View Academy,1306,Site-based Instruction,Bay View Academy,DataQuest Reports,Monterey
Big Sur Charter,1000,Independent Study,Big Sur Charter,DataQuest Reports,Monterey
International School of Monterey,429,Site-based Instruction,International School of Monterey,DataQuest Reports,Monterey
Learning for Life Charter,362,Independent Study,Learning for Life Charter,DataQuest Reports,Monterey
Monterey Bay Charter,799,Site-based Instruction,Monterey Bay Charter,DataQuest Reports,Monterey
Monterey County Home Charter,327,Independent Study,Monterey County Home Charter,DataQuest Reports,Monterey
Oasis Charter Public,412,Site-based Instruction,Oasis Charter Public,DataQuest Reports,Monterey
Open Door Charter,2091,Independent Study,Open Door Charter,DataQuest Reports,Monterey
Stone Bridge,679,Site-based Instruction,Stone Bridge,DataQuest Reports,Napa
Arete Charter Academy,1898,Combination of Site-based and IS,Arete Charter Academy,DataQuest Reports,Nevada
Bitney Prep High,871,Site-based Instruction,Bitney Prep High,DataQuest Reports,Nevada
Chicago Park Community Charter,1339,Site-based Instruction,Chicago Park Community Charter,DataQuest Reports,Nevada
EPIC de Cesar Chavez,1680,Site-based Instruction,EPIC de Cesar Chavez,DataQuest Reports,Nevada
Forest Charter,1427,Independent Study,Forest Charter,DataQuest Reports,Nevada
Grass Valley Charter,22,Combination of Site-based and IS,Grass Valley Charter,DataQuest Reports,Nevada
John Muir Charter,255,Site-based Instruction,John Muir Charter,DataQuest Reports,Nevada
Nevada City School of the Arts,869,Site-based Instruction,Nevada City School of the Arts,DataQuest Reports,Nevada
Sierra Academy of Expeditionary Learning,1336,Site-based Instruction,Sierra Academy of Expeditionary Learning,DataQuest Reports,Nevada
Twin Ridges Home Study Charter,1428,Independent Study,Twin Ridges Home Study Charter,DataQuest Reports,Nevada
Union Hill Elementary,1576,Site-based Instruction,Union Hill Elementary,DataQuest Reports,Nevada
Vantage Point Charter,24,Independent Study,Vantage Point Charter,DataQuest Reports,Nevada
Yuba River Charter,870,Site-based Instruction,Yuba River Charter,DataQuest Reports,Nevada
Advanced Learning Academy,1765,Site-based Instruction,Advanced Learning Academy,DataQuest Reports,Orange
California Connections Academy Southern California,664,Independent Study,California Connections Academy Southern California,DataQuest Reports,Orange
Citrus Springs Charter,1831,Combination of Site-based and IS,Citrus Springs Charter,DataQuest Reports,Orange
College and Career Preparatory Academy,1761,Independent Study,College and Career Preparatory Academy,DataQuest Reports,Orange
Community Roots Academy,1274,Site-based Instruction,Community Roots Academy,DataQuest Reports,Orange
Ednovate - Legacy College Prep.,1798,Site-based Instruction,Ednovate - Legacy College Prep.,DataQuest Reports,Orange
Edward B. Cole Academy,578,Site-based Instruction,Edward B. Cole Academy,DataQuest Reports,Orange
El Rancho Charter,445,Site-based Instruction,El Rancho Charter,DataQuest Reports,Orange
El Sol Santa Ana Science and Arts Academy,365,Site-based Instruction,El Sol Santa Ana Science and Arts Academy,DataQuest Reports,Orange
EPIC Charter (Excellence Performance Innovation Citizenship),1807,Independent Study,EPIC Charter (Excellence Performance Innovation Citizenship),DataQuest Reports,Orange
International School for Science and Culture,2048,Site-based Instruction,International School for Science and Culture,DataQuest Reports,Orange
Irvine International Academy,2116,Site-based Instruction,Irvine International Academy,DataQuest Reports,Orange
Journey,294,Site-based Instruction,Journey,DataQuest Reports,Orange
Kinetic Academy,1812,Site-based Instruction,Kinetic Academy,DataQuest Reports,Orange
Magnolia Science Academy Santa Ana,1686,Site-based Instruction,Magnolia Science Academy Santa Ana,DataQuest Reports,Orange
Nova Academy Early College High,632,Site-based Instruction,Nova Academy Early College High,DataQuest Reports,Orange
OCASA College Prep,2084,Site-based Instruction,OCASA College Prep,DataQuest Reports,Orange
OCSA,290,Site-based Instruction,OCSA,DataQuest Reports,Orange
Opportunities for Learning - Capistrano,463,Independent Study,Opportunities for Learning - Capistrano,DataQuest Reports,Orange
Orange County Academy of Sciences and Arts,1799,Site-based Instruction,Orange County Academy of Sciences and Arts,DataQuest Reports,Orange
Orange County Classical Academy,2094,Site-based Instruction,Orange County Classical Academy,DataQuest Reports,Orange
Orange County Educational Arts Academy,701,Site-based Instruction,Orange County Educational Arts Academy,DataQuest Reports,Orange
Orange County Workforce Innovation High,1833,Independent Study,Orange County Workforce Innovation High,DataQuest Reports,Orange
Oxford Preparatory Academy - Saddleback Valley,1784,Site-based Instruction,Oxford Preparatory Academy - Saddleback Valley,DataQuest Reports,Orange
Oxford Preparatory Academy - South Orange County,1324,Site-based Instruction,Oxford Preparatory Academy - South Orange County,DataQuest Reports,Orange
Palm Lane Elementary Charter,1932,Site-based Instruction,Palm Lane Elementary Charter,DataQuest Reports,Orange
Samueli Academy,1419,Site-based Instruction,Samueli Academy,DataQuest Reports,Orange
Santiago Middle,66,Site-based Instruction,Santiago Middle,DataQuest Reports,Orange
Scholarship Prep Charter,1808,Site-based Instruction,Scholarship Prep Charter,DataQuest Reports,Orange
Suncoast Prep Academy,2025,Independent Study,Suncoast Prep Academy,DataQuest Reports,Orange
Sycamore Creek Community Charter,2047,Site-based Instruction,Sycamore Creek Community Charter,DataQuest Reports,Orange
Tomorrow’s Leadership Collaborative (TLC) Charter,1987,Site-based Instruction,Tomorrow’s Leadership Collaborative (TLC) Charter,DataQuest Reports,Orange
Unity Middle College High,1800,Site-based Instruction,Unity Middle College High,DataQuest Reports,Orange
Vibrant Minds Charter,1701,Site-based Instruction,Vibrant Minds Charter,DataQuest Reports,Orange
Vista Condor Global Academy,1930,Site-based Instruction,Vista Condor Global Academy,DataQuest Reports,Orange
Vista Heritage Global Academy,1752,Site-based Instruction,Vista Heritage Global Academy,DataQuest Reports,Orange
Alta Vista Community Charter,1429,Site-based Instruction,Alta Vista Community Charter,DataQuest Reports,Placer
Bowman Charter,D9,Site-based Instruction,Bowman Charter,DataQuest Reports,Placer
Creekside Charter,1102,Independent Study,Creekside Charter,DataQuest Reports,Placer
Golden Valley Tahoe,1991,Site-based Instruction,Golden Valley Tahoe,DataQuest Reports,Placer
Harvest Ridge Cooperative Charter,1179,Independent Study,Harvest Ridge Cooperative Charter,DataQuest Reports,Placer
Horizon Charter,15,Independent Study,Horizon Charter,DataQuest Reports,Placer
John Adams Academy - Lincoln,1715,Site-based Instruction,John Adams Academy - Lincoln,DataQuest Reports,Placer
John Adams Academy - Roseville,2061,Site-based Instruction,John Adams Academy - Roseville,DataQuest Reports,Placer
Loomis Basin Charter,979,Site-based Instruction,Loomis Basin Charter,DataQuest Reports,Placer
Maidu Virtual Charter Academy,1976,Independent Study,Maidu Virtual Charter Academy,DataQuest Reports,Placer
Maria Montessori Charter Academy,1042,Site-based Instruction,Maria Montessori Charter Academy,DataQuest Reports,Placer
Newcastle Charter,727,Site-based Instruction,Newcastle Charter,DataQuest Reports,Placer
Placer Academy Charter,1979,Site-based Instruction,Placer Academy Charter,DataQuest Reports,Placer
Placer County Pathways Charter,1432,Independent Study,Placer County Pathways Charter,DataQuest Reports,Placer
Rocklin Academy at Meyers Street,900,Site-based Instruction,Rocklin Academy at Meyers Street,DataQuest Reports,Placer
Rocklin Academy Gateway,1528,Site-based Instruction,Rocklin Academy Gateway,DataQuest Reports,Placer
Rocklin Academy Turnstone Charter,308,Site-based Instruction,Rocklin Academy Turnstone Charter,DataQuest Reports,Placer
Sierra Expeditionary Learning,1180,Site-based Instruction,Sierra Expeditionary Learning,DataQuest Reports,Placer
Western Sierra Collegiate Academy,1071,Site-based Instruction,Western Sierra Collegiate Academy,DataQuest Reports,Placer
Plumas Charter,146,Independent Study,Plumas Charter,DataQuest Reports,Plumas
Audeo Valley Charter School,2118,Independent Study,Audeo Valley Charter School,DataQuest Reports,Riverside
California Military Institute,529,Site-based Instruction,California Military Institute,DataQuest Reports,Riverside
Cielo Vista Charter,1173,Site-based Instruction,Cielo Vista Charter,DataQuest Reports,Riverside
Come Back Kids,1568,Independent Study,Come Back Kids,DataQuest Reports,Riverside
Excelsior Charter School Corona-Norco,1993,Independent Study,Excelsior Charter School Corona-Norco,DataQuest Reports,Riverside
Garvey / Allen Visual Performing Arts Academy for STEM,2058,Site-based Instruction,Garvey / Allen Visual Performing Arts Academy for STEM,DataQuest Reports,Riverside
Gateway College and Career Academy,1602,Site-based Instruction,Gateway College and Career Academy,DataQuest Reports,Riverside
George Washington Charter,52,Site-based Instruction,George Washington Charter,DataQuest Reports,Riverside
Highland Academy,1493,Combination of Site-based and IS,Highland Academy,DataQuest Reports,Riverside
"Imagine Schools, Riverside County",1369,Site-based Instruction,"Imagine Schools, Riverside County",DataQuest Reports,Riverside
Innovative Horizons Charter,1294,Site-based Instruction,Innovative Horizons Charter,DataQuest Reports,Riverside
JCS - Pine Hills,2018,Independent Study,JCS - Pine Hills,DataQuest Reports,Riverside
Journey,1974,Site-based Instruction,Journey,DataQuest Reports,Riverside
Julia Lee Performing Arts Academy,1988,Site-based Instruction,Julia Lee Performing Arts Academy,DataQuest Reports,Riverside
Leadership Military Academy,1366,Site-based Instruction,Leadership Military Academy,DataQuest Reports,Riverside
Mission Vista Academy,2049,Independent Study,Mission Vista Academy,DataQuest Reports,Riverside
NOVA Academy - Coachella,1188,Site-based Instruction,NOVA Academy - Coachella,DataQuest Reports,Riverside
Nuview Bridge Early College High,368,Site-based Instruction,Nuview Bridge Early College High,DataQuest Reports,Riverside
Palm Desert Charter Middle,974,Site-based Instruction,Palm Desert Charter Middle,DataQuest Reports,Riverside
Pivot Charter School Riverside,1984,Independent Study,Pivot Charter School Riverside,DataQuest Reports,Riverside
REACH Leadership STEAM Academy,1409,Site-based Instruction,REACH Leadership STEAM Academy,DataQuest Reports,Riverside
River Springs Charter,753,Independent Study,River Springs Charter,DataQuest Reports,Riverside
San Jacinto Valley Academy,129,Site-based Instruction,San Jacinto Valley Academy,DataQuest Reports,Riverside
Santa Rosa Academy,730,Combination of Site-based and IS,Santa Rosa Academy,DataQuest Reports,Riverside
Scale Leadership Academy - East,2019,Independent Study,Scale Leadership Academy - East,DataQuest Reports,Riverside
Sycamore Academy of Science and Cultural Arts,1118,Site-based Instruction,Sycamore Academy of Science and Cultural Arts,DataQuest Reports,Riverside
Temecula International Academy,1873,Site-based Instruction,Temecula International Academy,DataQuest Reports,Riverside
Temecula Preparatory,284,Site-based Instruction,Temecula Preparatory,DataQuest Reports,Riverside
Temecula Valley Charter,65,Site-based Instruction,Temecula Valley Charter,DataQuest Reports,Riverside
Western Center Academy,1144,Site-based Instruction,Western Center Academy,DataQuest Reports,Riverside
Alpha Charter,1527,Combination of Site-based and IS,Alpha Charter,DataQuest Reports,Sacramento
American River Collegiate Academy,2100,Site-based Instruction,American River Collegiate Academy,DataQuest Reports,Sacramento
Aspire Alexander Twilight College Preparatory Academy,1554,Site-based Instruction,Aspire Alexander Twilight College Preparatory Academy,DataQuest Reports,Sacramento
Aspire Alexander Twilight Secondary Academy,1555,Site-based Instruction,Aspire Alexander Twilight Secondary Academy,DataQuest Reports,Sacramento
Aspire Capitol Heights Academy,598,Site-based Instruction,Aspire Capitol Heights Academy,DataQuest Reports,Sacramento
Bowling Green Elementary,18,Site-based Instruction,Bowling Green Elementary,DataQuest Reports,Sacramento
California Innovative Career Academy,2072,Independent Study,California Innovative Career Academy,DataQuest Reports,Sacramento
California Montessori Project - Capitol Campus,775,Site-based Instruction,California Montessori Project - Capitol Campus,DataQuest Reports,Sacramento
California Montessori Project - Elk Grove Campus,777,Site-based Instruction,California Montessori Project - Elk Grove Campus,DataQuest Reports,Sacramento
California Montessori Project-San Juan Campuses,776,Site-based Instruction,California Montessori Project-San Juan Campuses,DataQuest Reports,Sacramento
Capitol Collegiate Academy,1273,Site-based Instruction,Capitol Collegiate Academy,DataQuest Reports,Sacramento
Community Collaborative Charter,699,Independent Study,Community Collaborative Charter,DataQuest Reports,Sacramento
Community Outreach Academy,561,Site-based Instruction,Community Outreach Academy,DataQuest Reports,Sacramento
Creative Connections Arts Academy,686,Site-based Instruction,Creative Connections Arts Academy,DataQuest Reports,Sacramento
Delta Elementary Charter,853,Site-based Instruction,Delta Elementary Charter,DataQuest Reports,Sacramento
Elk Grove Charter,27,Independent Study,Elk Grove Charter,DataQuest Reports,Sacramento
Folsom Cordova K-8 Community Charter,650,Independent Study,Folsom Cordova K-8 Community Charter,DataQuest Reports,Sacramento
Fortune,1313,Site-based Instruction,Fortune,DataQuest Reports,Sacramento
Futures High,560,Site-based Instruction,Futures High,DataQuest Reports,Sacramento
Gateway International,1563,Site-based Instruction,Gateway International,DataQuest Reports,Sacramento
George Washington Carver School of Arts and Science,588,Site-based Instruction,George Washington Carver School of Arts and Science,DataQuest Reports,Sacramento
Golden Valley Orchard,1728,Site-based Instruction,Golden Valley Orchard,DataQuest Reports,Sacramento
Golden Valley River,946,Site-based Instruction,Golden Valley River,DataQuest Reports,Sacramento
Growth Public,1848,Site-based Instruction,Growth Public,DataQuest Reports,Sacramento
Heritage Peak Charter,687,Independent Study,Heritage Peak Charter,DataQuest Reports,Sacramento
Higher Learning Academy,862,Site-based Instruction,Higher Learning Academy,DataQuest Reports,Sacramento
Highlands Community Charter,1674,Site-based Instruction,Highlands Community Charter,DataQuest Reports,Sacramento
Leroy Greene Academy,1405,Site-based Instruction,Leroy Greene Academy,DataQuest Reports,Sacramento
Marconi Learning Academy,1970,Independent Study,Marconi Learning Academy,DataQuest Reports,Sacramento
Natomas Charter,19,Combination of Site-based and IS,Natomas Charter,DataQuest Reports,Sacramento
Natomas Pacific Pathways Prep,823,Site-based Instruction,Natomas Pacific Pathways Prep,DataQuest Reports,Sacramento
Natomas Pacific Pathways Prep Elementary,1803,Site-based Instruction,Natomas Pacific Pathways Prep Elementary,DataQuest Reports,Sacramento
Natomas Pacific Pathways Prep Middle,1106,Site-based Instruction,Natomas Pacific Pathways Prep Middle,DataQuest Reports,Sacramento
New Hope Charter,2092,Site-based Instruction,New Hope Charter,DataQuest Reports,Sacramento
New Joseph Bonnheim (NJB) Community Charter,1690,Site-based Instruction,New Joseph Bonnheim (NJB) Community Charter,DataQuest Reports,Sacramento
New Technology High,585,Site-based Instruction,New Technology High,DataQuest Reports,Sacramento
Options for Youth-San Juan,217,Independent Study,Options for Youth-San Juan,DataQuest Reports,Sacramento
Paseo Grande Charter,1727,Independent Study,Paseo Grande Charter,DataQuest Reports,Sacramento
Sacramento Charter High,596,Site-based Instruction,Sacramento Charter High,DataQuest Reports,Sacramento
San Juan Choices Charter,275,Independent Study,San Juan Choices Charter,DataQuest Reports,Sacramento
SAVA - Sacramento Academic and Vocational Academy,878,Independent Study,SAVA - Sacramento Academic and Vocational Academy,DataQuest Reports,Sacramento
SAVA - Sacramento Academic and Vocational Academy - EGUSD,1949,Independent Study,SAVA - Sacramento Academic and Vocational Academy - EGUSD,DataQuest Reports,Sacramento
SAVA - Sacramento Academic and Vocational Academy - SCUSD,1948,Independent Study,SAVA - Sacramento Academic and Vocational Academy - SCUSD,DataQuest Reports,Sacramento
Smythe Academy of Arts and Sciences,796,Site-based Instruction,Smythe Academy of Arts and Sciences,DataQuest Reports,Sacramento
Sol Aureus College Preparatory,552,Site-based Instruction,Sol Aureus College Preparatory,DataQuest Reports,Sacramento
St. HOPE Public School 7,491,Site-based Instruction,St. HOPE Public School 7,DataQuest Reports,Sacramento
The Language Academy of Sacramento,640,Site-based Instruction,The Language Academy of Sacramento,DataQuest Reports,Sacramento
The MET,586,Site-based Instruction,The MET,DataQuest Reports,Sacramento
Visions in Education,248,Independent Study,Visions in Education,DataQuest Reports,Sacramento
Westlake Charter,711,Site-based Instruction,Westlake Charter,DataQuest Reports,Sacramento
Westside Preparatory Charter,73,Site-based Instruction,Westside Preparatory Charter,DataQuest Reports,Sacramento
Yav Pem Suab Academy - Preparing for the Future Charter,1186,Site-based Instruction,Yav Pem Suab Academy - Preparing for the Future Charter,DataQuest Reports,Sacramento
Hollister Prep,1507,Site-based Instruction,Hollister Prep,DataQuest Reports,San Benito
Academy for Academic Excellence,127,Site-based Instruction,Academy for Academic Excellence,DataQuest Reports,San Bernardino
Academy of Careers and Exploration,968,Site-based Instruction,Academy of Careers and Exploration,DataQuest Reports,San Bernardino
Allegiance STEAM Academy - Thrive,1945,Site-based Instruction,Allegiance STEAM Academy - Thrive,DataQuest Reports,San Bernardino
Alta Vista Innovation High,1895,Independent Study,Alta Vista Innovation High,DataQuest Reports,San Bernardino
ASA Charter,677,Combination of Site-based and IS,ASA Charter,DataQuest Reports,San Bernardino
Ballington Academy for the Arts and Sciences - San Bernardino,1795,Site-based Instruction,Ballington Academy for the Arts and Sciences - San Bernardino,DataQuest Reports,San Bernardino
Competitive Edge Charter Academy (CECA),1291,Site-based Instruction,Competitive Edge Charter Academy (CECA),DataQuest Reports,San Bernardino
Desert Trails Preparatory Academy,1522,Site-based Instruction,Desert Trails Preparatory Academy,DataQuest Reports,San Bernardino
Elite Academic Academy - Lucerne,1923,Independent Study,Elite Academic Academy - Lucerne,DataQuest Reports,San Bernardino
Empire Springs Charter,1592,Independent Study,Empire Springs Charter,DataQuest Reports,San Bernardino
Encore Jr./Sr. High School for the Performing and Visual Arts,971,Site-based Instruction,Encore Jr./Sr. High School for the Performing and Visual Arts,DataQuest Reports,San Bernardino
Entrepreneur High,1922,Site-based Instruction,Entrepreneur High,DataQuest Reports,San Bernardino
Entrepreneur High School Fontana,2095,Site-based Instruction,Entrepreneur High School Fontana,DataQuest Reports,San Bernardino
Excel Academy Charter,2073,Independent Study,Excel Academy Charter,DataQuest Reports,San Bernardino
Excel Prep Charter,1153,Site-based Instruction,Excel Prep Charter,DataQuest Reports,San Bernardino
Excelsior Charter,1910,Independent Study,Excelsior Charter,DataQuest Reports,San Bernardino
Gorman Learning Center San Bernardino/Santa Clarita,1977,Independent Study,Gorman Learning Center San Bernardino/Santa Clarita,DataQuest Reports,San Bernardino
Granite Mountain Charter,2033,Independent Study,Granite Mountain Charter,DataQuest Reports,San Bernardino
Grove Charter,180,Site-based Instruction,Grove Charter,DataQuest Reports,San Bernardino
Hardy Brown College Prep,1155,Site-based Instruction,Hardy Brown College Prep,DataQuest Reports,San Bernardino
Independence Charter Academy,1679,Independent Study,Independence Charter Academy,DataQuest Reports,San Bernardino
Inland Leaders Charter,889,Site-based Instruction,Inland Leaders Charter,DataQuest Reports,San Bernardino
LaVerne Elementary Preparatory Academy,1034,Site-based Instruction,LaVerne Elementary Preparatory Academy,DataQuest Reports,San Bernardino
Mirus Secondary,885,Independent Study,Mirus Secondary,DataQuest Reports,San Bernardino
Mojave River Academy - Gold Canyon,1937,Independent Study,Mojave River Academy - Gold Canyon,DataQuest Reports,San Bernardino
Mojave River Academy - Marble City,1943,Independent Study,Mojave River Academy - Marble City,DataQuest Reports,San Bernardino
Mojave River Academy - National Trails,1938,Independent Study,Mojave River Academy - National Trails,DataQuest Reports,San Bernardino
Mojave River Academy - Oro Grande,1939,Independent Study,Mojave River Academy - Oro Grande,DataQuest Reports,San Bernardino
Mojave River Academy - Rockview Park,1941,Independent Study,Mojave River Academy - Rockview Park,DataQuest Reports,San Bernardino
Mojave River Academy - Route 66,1940,Independent Study,Mojave River Academy - Route 66,DataQuest Reports,San Bernardino
Mojave River Academy - Silver Mountain,1942,Independent Study,Mojave River Academy - Silver Mountain,DataQuest Reports,San Bernardino
